,contribution,liveStatus,nickname,rank,uid,roomId,type,create_time
0,5299,9.0,逗瓣,1,4416963,114.0,hour,2020-02-12 19:58:00
1,4069,9.0,萌叽_三月三,2,130564791,930094.0,hour,2020-02-12 19:58:00
2,3307,9.0,董咚儿_JLsound,3,84434603,1244753.0,hour,2020-02-12 19:58:00
3,3173,9.0,亚辰_燃点娱乐,4,197467038,1587616.0,hour,2020-02-12 19:58:00
4,2941,9.0,半岛玫瑰_九星,5,7312748,17214.0,hour,2020-02-12 19:58:00
5,2462,9.0,啾啾_SK,6,106910783,644237.0,hour,2020-02-12 19:58:00
6,2441,9.0,佟彤_九星,7,75488727,19354.0,hour,2020-02-12 19:58:00
7,2352,9.0,三千_唬头Bng,8,172422028,1551001.0,hour,2020-02-12 19:58:00
8,1943,9.0,百变戏精_花卷子丶1K,9,36371736,241335.0,hour,2020-02-12 19:58:01
9,1941,9.0,右右_Qy,10,98517688,1768008.0,hour,2020-02-12 19:58:01
10,1940,9.0,一個千琳,11,153434758,1660859.0,hour,2020-02-12 19:58:01
11,1843,9.0,Star_奉仙儿,12,179734434,1368419.0,hour,2020-02-12 19:58:01
12,1808,9.0,_____酒酒,13,187530208,1499958.0,hour,2020-02-12 19:58:01
13,1788,9.0,一個稀饭,14,187167692,1576749.0,hour,2020-02-12 19:58:01
14,1720,9.0,马小骏_九星,15,136093162,881641.0,hour,2020-02-12 19:58:01
15,1705,9.0,麦乐蒂白_shk,16,156215290,1011766.0,hour,2020-02-12 19:58:01
16,1679,1.0,巧安生_,17,214376184,1771318.0,hour,2020-02-12 19:58:01
17,1532,1.0,法拉利_领秀,18,191670293,1603511.0,hour,2020-02-12 19:58:02
18,1461,9.0,NJ语瞳,19,29668435,173.0,hour,2020-02-12 19:58:02
19,1313,9.0,洪七姑娘,20,15359344,49965.0,hour,2020-02-12 19:58:02
20,1225,9.0,可乐_瑾show,21,117647200,663343.0,hour,2020-02-12 19:58:02
21,1141,9.0,CEO丶大宝z,22,171429027,1200980.0,hour,2020-02-12 19:58:02
22,1140,9.0,陳希_,23,123335833,744772.0,hour,2020-02-12 19:58:02
23,1135,9.0,逸声_瘦瘦,24,27403003,1132759.0,hour,2020-02-12 19:58:02
24,1061,9.0,知七丶,25,125370372,1168229.0,hour,2020-02-12 19:58:02
25,1010,5.0,小爱_WIN,26,147372262,973685.0,hour,2020-02-12 19:58:02
26,903,9.0,之贰,27,113660040,1418977.0,hour,2020-02-12 19:58:03
27,893,9.0,西瓜瓜o,28,98766108,245106.0,hour,2020-02-12 19:58:03
28,890,9.0,SN_恋雪,29,193747844,1547914.0,hour,2020-02-12 19:58:03
